------------------------------------------------------------------------------------
导出信息：
姓名：刘鹏
支付宝账户：18271484978
起始时间：[2023-10-29 00:00:00]    终止时间：[2024-10-28 23:59:59]
导出交易类型：[全部]
导出时间：[2024-10-28 13:21:01]
共2508笔记录
收入：123笔 2014.80元
支出：1793笔 61095.63元
不计收支：592笔 565102.35元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅展示当前账单中的交易，不包括已删除的记录；
9.本明细仅供个人对账使用。

------------------------支付宝（中国）网络技术有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2024-10-28 08:10:03,交通出行,武汉地铁运营有限公司,whq***@163.com,罗家港-虎泉,支出,5.00,花呗,交易成功,2024102822001482561446804267	,202410281850691460056227840	,,
2024-10-28 07:32:12,交通出行,哈啰出行,zij***@hellobike.com,哈啰单车卡抵扣骑行费用,支出,0.00,哈啰骑行卡,交易成功,2024102823001482561441913660	,CPR241028073212677224828559Y	,,
2024-10-28 07:24:28,交通出行,哈啰出行,zij***@hellobike.com,哈啰单车卡抵扣骑行费用,支出,0.00,哈啰骑行卡,交易成功,2024102823001482561441904709	,CPR241028072428307224828559Y	,,
2024-10-28 07:11:34,餐饮美食,武汉市郑陈生烫牛腰牛肉面馆,/,武汉市郑陈生烫牛腰牛肉面馆,支出,5.00,花呗,交易成功,2024102822001482561447384360	,1312660000482200007895008480349223	,,
2024-10-28 02:10:38,投资理财,国泰基金管理有限公司,/,余额宝-2024.10.27-收益发放,不计收支,2.22,余额宝,交易成功,20241028313113708561	,	,,
2024-10-27 07:46:59,日用百货,拼多多平台商户,pdd***@yiran.com,商户单号XP1324102707201388050675005033,支出,15.70,花呗,交易成功,2024102722001482561440102169	,XP1324102707201388050675005033	,,
2024-10-27 07:44:10,日用百货,拼多多平台商户,pdd***@yiran.com,商户单号XP2124102707201384009634000919,支出,28.89,花呗,交易成功,2024102722001482561439725032	,XP2124102707201384009634000919	,,
2024-10-27 07:36:15,转账红包,支付宝红包,/,发普通红包,支出,5.00,余额宝,交易成功,20241027200040031100560009404211	,202410270206302274112580560094754410	,,
2024-10-27 07:35:42,交通出行,哈啰出行,zij***@hellobike.com,哈啰单车卡抵扣骑行费用,支出,0.00,哈啰骑行卡,交易成功,2024102723001482561440790329	,CPR241027073542170224828559F	,,
2024-10-27 02:59:41,投资理财,国泰基金管理有限公司,/,余额宝-2024.10.26-收益发放,不计收支,2.22,余额宝,交易成功,20241027311579073561	,	,,
2024-10-26 22:01:17,日用百货,拼多多平台商户,pdd***@yiran.com,商户单号XP1524102622200142353519006491,支出,29.99,花呗,交易成功,2024102622001482561432430070	,XP1524102622200142353519006491	,,
2024-10-26 18:53:26,餐饮美食,小红帽炸串,158******73,收钱码收款,支出,17.00,花呗,交易成功,2024102622001482561431839236	,17299400064122386482563	,,
2024-10-26 18:50:30,餐饮美食,商户_周涛,/,商户_周涛,支出,9.00,花呗,交易成功,2024102622001482561432981732	,592017092208872157320206027810000582410260306057	,,
2024-10-26 18:32:11,餐饮美食,塔斯汀中国汉堡,269***@qq.com,【爽脆上新】塔斯汀鸡鸭双享2件套TG249,支出,19.90,花呗,交易成功,2024102622001482561432433339	,20241026016000001305691214074108	,,
2024-10-26 17:22:09,交通出行,哈啰出行,zij***@hellobike.com,哈啰单车卡抵扣骑行费用,支出,0.00,哈啰骑行卡,交易成功,2024102623001482561434166972	,CPR241026172209361224828559T	,,
2024-10-26 07:27:56,交通出行,哈啰出行,zij***@hellobike.com,哈啰单车卡抵扣骑行费用,支出,0.00,哈啰骑行卡,交易成功,2024102623001482561426946927	,CPR241026072756124224828559H	,,
2024-10-26 06:49:50,餐饮美食,常青麦香园,/,常青麦香园,支出,5.00,花呗,交易成功,2024102623001482561427344157	,6212660000482200007895220431931157	,,
2024-10-26 06:28:45,餐饮美食,早餐,182******17,经营码交易,支出,6.00,花呗,交易成功,2024102622001482561426180624	,17298953266122386482563	,,
2024-10-26 03:52:42,投资理财,国泰基金管理有限公司,/,余额宝-2024.10.25-收益发放,不计收支,2.44,余额宝,交易成功,20241026305395912561	,	,,
2024-10-25 18:53:03,交通出行,哈啰出行,zij***@hellobike.com,哈啰单车卡抵扣骑行费用,支出,0.00,哈啰骑行卡,交易成功,2024102523001482561427855806	,CPR241025185302928224828559E	,,
2024-10-25 18:44:09,交通出行,武汉地铁运营有限公司,whq***@163.com,虎泉-罗家港,支出,5.00,花呗,交易成功,2024102522001482561426306150	,202410251849763869283852288	,,
2024-10-25 17:18:51,转账红包,猪?(**丽),151******79,转账,支出,100.00,余额宝,交易成功,20241025200040011100560039358007	,	,,
2024-10-25 07:59:01,餐饮美食,襄阳牛肉面,/,武汉市洪山区米球球餐饮店,支出,5.00,花呗,交易成功,2024102522001482561420328594	,802016081701760348403500229220202410252155907152	,,
